Light Intensity, Ch A vs Actual Angular position, Run #14
Actual Angular position	Light Intensity Ch A (%max)
-0.762	-0.039
-0.760	0.010
-0.758	-0.039
-0.756	0.010
-0.754	-0.039
-0.752	0.020
-0.750	-0.049
-0.748	0.010
-0.748	-0.049
-0.747	0.020
-0.746	-0.049
-0.746	0.020
-0.744	-0.059
-0.743	0.020
-0.741	-0.059
-0.739	0.020
-0.737	-0.049
-0.734	0.029
-0.732	-0.039
-0.730	0.029
-0.728	-0.049
-0.726	0.020
-0.723	-0.039
-0.720	0.059
-0.717	0.293
-0.714	0.693
-0.712	0.781
-0.710	0.889
-0.708	0.830
-0.706	0.889
-0.702	0.439
-0.699	0.205
-0.697	0.059
-0.697	0.088
-0.696	0.010
-0.696	0.059
-0.695	0.000
-0.694	0.039
-0.693	-0.039
-0.692	0.020
-0.691	-0.039
-0.691	0.020
-0.690	-0.049
-0.689	0.029
-0.688	-0.049
-0.687	0.020
-0.686	-0.049
-0.686	0.020
-0.685	-0.039
-0.684	0.010
-0.683	-0.049
-0.683	0.020
-0.682	-0.059
-0.681	0.010
-0.680	-0.049
-0.679	0.020
-0.678	-0.059
-0.677	0.020
-0.676	-0.039
-0.676	0.020
-0.675	-0.039
-0.675	0.020
-0.674	-0.039
-0.673	0.010
-0.673	-0.059
-0.672	0.010
